indicator,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Density of urban population,-11.459298,-4.486864,1.2964696,-0.6397658,4.775996,4.329607,-1.0220112,-0.6744895,-2.203735,-4.369177,-1.3254874,-5.701156,3.5298357,3.367711,-4.3469377,3.6753366,1.4396267,2.979793,1.2903769,0.73953074,1.1526129,2.023564,-3.3680522,-0.1510263,-1.8844452,0.6558741,1.2099539,-0.30784276,-0.7288631,0.42846876,0.2830774,0.32822782,-1.085138,1.6122007,0.296012,-1.9654112,-0.17001478,2.4785566,0.4639024,-0.34872717,-1.2183611,2.0505633,-1.0220642,-0.6620051,0.55686754,1.6378472,1.0689386,-0.20482731,0.08702196,0.50781596,-0.32108852,0.8067503
Number of household members,-6.526514,-1.0530819,8.557701,12.308971,-0.31499326,1.1003225,-3.0452037,-1.2156463,-5.497325,-1.0822947,1.7646148,4.771525,-2.9645925,-2.269903,-2.9674327,-2.1976542,-1.0882113,2.6167486,-3.8890307,3.46243,0.38836044,0.14589101,-0.7496172,0.12742122,-1.5012817,-1.3259296,-0.8195981,1.5787282,0.7545996,2.9292808,1.4716433,1.8183597,0.006198436,0.20307282,0.46425888,3.3086915,-2.0548792,3.4891646,-0.71586335,0.3448591,0.9907578,-0.25709668,-0.36372602,0.032006733,-0.17818783,0.34979215,-0.33701116,1.1860797,1.4820594,0.6286376,0.25759214,-2.4416175
Number of household members outside the country,-8.314777,-1.6441392,11.519335,-1.3522637,-0.05375564,0.9394032,-2.0061975,0.31576034,-7.5390596,4.0132885,1.6214764,1.3177178,-1.60202,-0.15423064,-7.349257,-4.52458,-2.9946208,-2.4312034,-0.5681851,3.2678144,-2.0195053,3.3114538,-5.847418,-0.69589007,-0.3159793,0.19899428,-0.13343515,-1.4797949,2.143712,0.6605187,0.7739893,1.5906036,-1.5287938,-0.56625086,1.0292373,-0.59922016,-1.2984995,-1.2595792,-0.34140646,1.5731764,0.42342177,1.7814145,-0.39257243,-0.34418437,-2.690668,0.07953897,1.3093752,0.8326631,-1.7812614,1.5939076,0.5130683,-2.0343914
Population density: total resident pop. per sq. km,-11.659454,-1.1711853,6.942909,-0.568696,3.4444978,6.735951,-2.678359,-2.4644165,-5.329814,-2.7163768,-1.4352582,-0.9496474,2.2835495,1.1880864,-3.1777482,-0.855654,1.7917488,3.7341733,2.8592887,1.0303917,3.4268415,4.156282,0.36675054,-0.002133213,-0.013027832,-1.6246417,1.1618375,0.7435645,-3.4307733,1.426595,0.81831276,0.24298608,-1.1697991,2.0497847,-0.6391363,-1.0675596,0.13734016,1.3003664,-1.4420234,-1.1078943,-0.93599796,-0.5516087,-1.5278105,0.055430427,1.8549075,-0.970441,-0.6547891,0.9184405,-0.28404742,0.6068867,-0.55070704,0.75941074
Proportion of households living in houses,-2.7412622,0.7796029,9.856066,13.355022,-2.150858,2.7715693,0.19061431,1.5362743,-5.094886,0.008462623,2.7199512,3.4640384,-3.6397336,0.11988166,-1.0518448,-0.9578656,-0.14605424,-0.51005316,-4.8276014,5.2224603,-2.2043693,1.6134748,-3.5849752,-1.9712675,-4.2425146,0.11190359,-1.5548518,1.6335311,2.7532206,2.8922954,0.6214563,0.89944357,-1.1989616,0.7150049,-0.7020917,0.8054109,-3.0576797,2.1930823,-1.6862675,2.7081184,-0.117187396,-1.2997258,2.5446963,2.78904,0.82996124,-0.061218396,-1.0958177,0.4447212,0.8466274,0.9392654,1.4496835,-0.5168587
Proportion of households that are 1-person households,-3.4690974,1.733257,11.958274,12.45328,-1.6488801,4.3065014,2.3791666,-4.5159264,-4.4172955,1.5149028,0.77323085,3.1443334,1.21015,-1.4014018,-0.67275715,-5.4536047,4.178168,1.122629,-1.8842456,1.9399245,1.6526951,1.5514549,1.533568,1.3759582,-0.20913163,-5.9948187,1.1440115,1.5448116,-1.4961374,-0.96644914,2.5241652,-1.2221262,-0.79916584,2.5172508,0.9546032,3.9357138,1.544316,2.013912,0.13853022,-1.0723855,-0.2218309,0.7734996,-0.93925136,3.0967627,-1.6614497,0.9728075,2.7235534,1.0286524,1.3300836,0.9686785,-0.8525826,-1.4910319
Proportion of households that are lone-parent households,-2.9789145,0.4322847,10.435487,12.017709,-4.290082,2.1362977,3.9119895,-1.6305455,-3.8856335,3.1578207,1.5962069,2.5122778,1.6697564,1.101094,0.33374587,-7.1218467,2.1411414,2.6074839,-0.93988407,3.5552206,3.6067247,0.27609447,-0.38789698,-0.040891945,-0.043184415,-6.468791,2.172841,0.06665385,-1.3685107,-1.3925805,3.956438,1.2146307,-1.4174553,2.8297281,1.9025508,3.8688297,1.1549215,-1.13147,2.446292,0.8931141,1.0560035,-0.56127286,0.0241884,3.1246428,-1.0205364,1.9114596,3.061977,0.876287,0.15375015,1.3240117,-0.32396564,-1.1450762
Proportion of households that are lone-pensioner households,-2.320046,5.184452,3.6458104,9.795003,-5.1994076,5.9801707,6.9045386,4.139182,-4.23021,6.768911,-0.84149355,3.6210897,-3.2062666,2.797739,-1.0032759,-6.925402,0.09028074,-1.9992903,0.7171775,1.9551826,2.8739731,-1.9574604,0.20185605,-0.3194633,1.6318058,-2.2280393,2.4621093,1.3391342,-1.2639835,-0.7125119,3.3131297,-1.4884673,1.4855902,-0.6894243,0.3158153,2.1743965,0.9522314,0.8311305,-0.79910445,3.0546308,0.64898205,1.0782328,2.030013,0.7205849,-1.8254261,1.6726973,2.0891263,-1.6122016,-1.5773504,1.0154597,-2.1319876,1.0451903
Lone parent households per 100 households with children aged 0–17,-3.444035,3.6682222,11.210516,7.551587,1.324513,-0.69885015,5.204901,-6.1494303,2.9383168,-0.35418785,-1.2085376,3.8728316,-0.8078486,3.111853,5.2547994,-1.4854467,3.7717147,-1.5445606,-0.06538202,-0.42319414,3.2256582,1.1457944,-1.0721635,4.172779,8.31124,-4.4672437,-0.15984038,-0.9503051,-2.5864267,-1.628293,0.7914203,1.2701523,-2.4900649,-0.24078006,3.4058557,0.8673476,0.4489537,-1.6338191,-0.7017753,1.517993,0.4723111,1.8323334,1.0993948,3.0053127,-0.503251,5.217957,-0.6207626,1.3103274,-3.380013,1.9329207,-0.32816732,-0.36270288
Population growth rate over the period –,-7.7350903,-3.2464757,3.8958783,2.081193,-0.08073175,1.526539,-5.8532214,1.2819349,0.17217813,-4.7225285,-3.9608378,-1.1867492,4.498978,-0.26846597,-6.772038,-0.007438749,-5.3780794,0.048444703,3.5799236,2.3241265,6.9359865,1.8085282,0.34910834,-2.3563263,2.9593666,-1.7946677,1.2021525,2.5111926,-2.910501,3.0711215,-1.3792017,-1.4629316,0.9904452,0.29768366,0.037092805,-0.3479486,-0.10991894,1.1785016,0.436065,-0.116181076,0.75057423,1.2945164,0.53154093,-1.1134272,0.82726943,-2.8028662,-0.944108,1.779886,-0.12386876,2.803255,1.8641896,-1.4024564
Proportion of population aged 0–4 years,-3.901848,-0.24666882,5.2525506,0.04978357,-1.1938819,-1.0441911,-2.1629953,-5.4942513,1.4644451,-4.811582,0.25327373,0.15047479,2.0748951,-4.588129,-3.1288264,0.25144368,3.5902267,-0.32781184,-2.7544343,-4.3824544,4.6179743,0.9624071,1.0915351,6.8052654,1.719898,-3.2800763,1.4359972,-0.11847738,0.1547068,1.7756449,-1.2439756,-3.1657434,3.5182269,-1.2704359,1.7333901,-2.6191413,-3.7212336,3.6560602,-1.405366,5.1167994,1.7972832,-2.956863,-4.1234636,3.163512,1.7424006,-1.1106279,0.49238303,3.2428405,-3.6147766,-1.0638704,2.3324428,2.7761173
Proportion of population aged 75 years and over,-2.6318746,5.2194395,7.825466,7.2578535,-2.114019,0.8839166,-2.0358295,-3.8046708,1.324987,-1.5054536,-2.2801929,-6.287997,-3.590647,0.63798916,-4.737848,1.1841698,-6.6066566,1.909676,5.851443,-2.146062,1.2064651,1.497386,1.6795557,-1.5381842,0.94203424,-2.137041,1.7574098,-4.392471,0.45322597,2.5303187,0.49844792,0.59365696,-1.3820317,0.027241096,-0.4118082,-1.5934663,2.569953,-0.28366998,2.8991485,3.5229387,2.6907077,-0.5041764,-5.670427,1.2377757,1.1967121,4.472574,1.0192821,-1.482572,-2.0779028,-1.6736951,1.7792951,0.14359313
Proportion of working age population qualified at level 5 or 6 ISCED,-3.3760686,-1.6173806,5.8285847,4.440278,0.66585565,-2.573811,-3.0781443,2.9681458,2.0360677,1.2406166,5.383277,2.3581486,7.618669,-2.319308,4.74513,-7.1806946,-2.1981802,3.730248,7.084822,-0.8283801,1.4389952,-5.1760955,0.21813643,2.7711065,-4.0733356,-2.0145032,-3.6746075,-2.9906502,-2.8593948,-1.1458313,-0.3712552,-2.1375413,3.255146,-7.4742665,-4.070137,0.50514436,-1.3011692,0.7310597,0.4666444,-1.1701177,0.37730488,-1.6074822,-3.261187,-2.2319665,0.9146478,0.9759884,0.7252455,1.5437758,-1.0740508,-1.8185935,-1.9632128,2.366187
Non-EU foreigners as a proportion of population,-7.604574,2.1093023,13.604091,1.6723983,-0.6760435,1.6327987,2.350163,-4.013591,1.6430099,1.7935792,2.09404,2.3156803,-1.641592,-3.6230493,-0.50563455,-3.8159864,5.001106,1.3593254,1.1689454,-1.485048,-0.24801055,-0.5514588,-2.227942,-1.2107228,-1.1535752,0.30113798,5.4582634,-3.935975,-0.35032552,2.4358182,-1.0070459,-3.6525807,-0.46162307,2.0098653,-1.4281273,-2.8057704,0.99225414,0.29134932,2.4646428,1.7596353,-1.3979728,0.14261892,-1.1723875,-1.3104113,-1.5814044,1.1309185,3.1707556,1.9084415,1.7337503,5.1912565,0.31061965,2.4485369
Total population of the city,-13.432285,-4.3991814,3.1172738,-0.32898864,1.970648,2.6932683,-2.4858403,-3.702468,-7.929607,-2.5961158,-2.76687,-4.4156265,3.3431504,0.83766603,-4.346711,-2.6288524,2.0007668,2.8368359,2.3670537,0.04223886,0.1683338,-0.67686534,-3.417919,0.2194939,-3.2561233,0.71796745,-0.44535714,1.2522577,-2.108294,-1.3038148,0.6996765,-0.22627789,-1.832991,-0.24441041,0.9174738,-0.83568853,-0.7190887,0.9749855,-1.1506411,-1.4425449,0.25114524,0.8832883,-0.5867443,0.04723464,0.88410926,-0.31119913,-1.5941098,1.3223039,0.6180619,-0.47906995,-1.2657108,2.204129
Density population,-8.965822,-4.612287,0.93064445,3.1402626,4.263335,-0.6643851,-1.0063314,0.9769768,-2.093131,-3.4840622,-2.263435,-4.8526516,2.0073042,1.814086,-4.4627895,6.8455644,-3.0488896,3.0666714,1.5559274,1.5704483,2.2586474,2.9217968,-3.0440462,0.5706932,-1.8273938,0.5161877,3.009559,0.048921302,-0.57069314,2.9980235,0.3393389,1.311844,-0.5424221,3.4067948,-0.039307058,-2.1842022,-1.1697335,2.5755992,-0.54898477,-0.76883763,-1.351408,3.33308,-2.080571,-0.98761415,0.3368023,1.4983432,1.5454546,-0.45936573,-0.7157397,2.8401122,-0.39466524,0.39575088
Household density,-5.1997967,2.651302,4.9766684,12.255668,0.687888,1.8851322,-1.4093325,3.735497,-5.7138557,-2.3692043,1.3636389,-0.11080146,-1.8292973,1.1624131,1.1124003,0.19643393,-2.6433854,1.6771915,-5.336299,3.8420787,-1.152892,4.039116,-1.5948789,-2.23599,0.8100939,1.4474757,1.7683065,0.87297183,2.0657773,1.3482484,2.7895374,1.7781065,-2.03815,1.7173454,1.4679811,-1.767674,-2.8145943,2.5004182,-0.6946344,-0.168127,0.58907235,1.1550179,-1.960385,-0.6606961,-1.098311,0.7543906,-1.767886,-0.8943895,0.47883594,1.241301,-0.54589176,-1.0830367
Population,-8.854977,-4.6791086,4.8930364,0.49481636,0.24040082,-2.0263317,-1.5373085,-1.7010626,-5.72446,-2.5341282,-2.8508809,0.024950579,2.5545385,-0.34123713,-6.943729,0.25344357,-2.3934968,3.6279392,0.20758116,3.974291,4.423051,0.5685898,1.1494347,0.26563135,2.6355844,-0.78900445,1.286748,0.30242562,-3.5307379,4.2042456,0.38966134,-1.0056502,-0.8381686,1.2332052,-0.01727575,-1.2710223,-1.2223399,1.8290141,-0.951463,-3.3732312,0.5684857,3.9271572,-1.0622463,-3.3576007,2.408695,-1.1716539,-1.837579,2.2935722,1.1366944,2.4990602,0.19116151,0.34592697
Health conditions,0.7669498,-1.8087119,-1.5021262,3.0983074,2.1604142,-0.95519185,-0.2362001,0.5557892,-1.0715828,1.114636,0.5691128,3.0306342,0.8709374,3.7072659,-3.1563568,2.0564232,0.57921445,5.1685796,-2.0891752,-6.646044,-1.8342451,-2.5761514,6.621411,-2.3256454,1.500582,1.6775784,-0.25588334,1.2988527,0.7917063,6.846643,0.84913486,1.4514391,0.9937198,-0.9033632,-1.510968,0.15136355,1.9299875,-2.4033635,2.7053185,0.34917784,2.2940607,-1.4746927,1.0458101,-1.5843562,3.3516932,2.9724681,-1.6710615,-0.40338448,-1.5849586,-0.784915,0.48850125,0.9324467
Access to Fresh Food,1.820561,-1.9155531,-2.3543134,0.46193615,2.6967478,-2.550787,-3.1283994,-1.9354186,1.4840252,-0.75415075,-8.377397,3.23779,6.365943,-3.965753,-2.0999317,0.04596719,3.6976533,-2.412406,-2.1763227,-2.7824926,-3.3775954,2.7337358,-4.681434,3.7360406,3.0550075,-5.5840325,2.0076346,3.5968232,4.0540366,4.9891644,0.5743555,0.47297043,1.8048761,0.9646897,-1.617559,0.5995549,0.09755404,0.0090504885,0.71961474,-0.4831246,-0.3546246,0.18079148,-0.87607473,-0.80129063,-0.42877695,2.5353599,1.7635267,-1.777208,2.105067,-2.382721,0.1142472,-0.0822124
"Number of hospital beds per 10,000 people",-5.3855343,1.4844967,4.1125383,6.3818264,4.77456,3.0715764,2.2839181,-4.48407,-3.329742,-2.460793,0.16754672,1.8634496,0.43044847,5.414202,1.7869291,6.2684712,0.6698942,1.9473859,5.8620777,-3.692548,-0.1204872,1.6188215,3.4098482,4.607173,1.9165032,-1.180206,-1.2858071,-1.4725132,-1.7418714,1.6383293,0.21068442,3.4252863,1.5058327,2.360204,2.6099107,3.901432,2.0630789,-4.1449466,-1.8173003,2.709021,2.5648794,-1.6790888,1.5856147,-2.0853438,2.654811,-0.11757091,-3.2245042,0.45092383,3.1871452,-0.52423173,-1.4470909,-0.4994629
"Number of doctors per 10,000 inhabitants",-4.96334,1.8233624,4.8600984,3.968543,3.6042764,1.9683982,3.3643997,-4.2727356,-1.3170812,-2.1871543,1.2063789,3.3813949,0.9870596,5.0184073,3.5859547,1.8652023,-0.3239703,3.3868074,6.0893993,-3.973853,-1.4931049,2.5386808,2.3999045,3.8971293,1.9097192,-1.3735445,-0.7039528,-2.2196245,0.13349426,3.1588824,-0.21355456,3.2147706,2.626514,2.1001925,2.1746109,2.5872636,1.6321867,-5.4994974,-0.7328414,2.504336,2.0208597,-2.4399292,1.3467506,-1.5574844,2.9895298,0.07379341,-4.9223237,-0.20547023,3.0188496,0.013718471,-1.4592165,0.026771545
Health expectancy,3.353413,-1.1244456,-3.6602848,5.9435277,3.8162417,-4.197027,-0.19400597,1.5975012,-3.3513258,2.008421,-3.5073395,0.14101782,1.5832422,-1.4685968,-3.3259978,2.5960836,-4.0255613,0.84820926,1.8899089,-3.6862044,0.08065712,-1.2030547,3.5969915,-7.3495255,3.803228,4.15347,-2.6362243,0.32865188,-0.8373518,2.924545,-0.14963892,1.1192081,-0.37787017,-0.658411,-0.440294,-0.19906309,0.8431378,3.071867,1.2705507,4.8769817,0.4219848,-1.5079812,0.384628,-2.0352025,1.2405684,0.72434545,-1.3843856,-0.3303194,0.11542773,0.2587427,0.66808,1.7275459
Food deserts,0.25096962,6.993796,2.1739786,3.950863,-0.3886777,-3.394391,4.0465126,3.1347213,0.22606534,-0.352516,-2.6483474,0.63555485,4.5748053,-5.307805,1.2533777,4.429526,-0.41069284,-2.048792,-4.5286775,-2.5772676,-4.2231703,3.6413288,0.6923721,0.39941794,3.2618709,-2.6964216,5.091262,-4.174105,2.081043,6.4905534,4.712632,0.45576197,0.970812,-0.18794745,0.8718859,3.2445495,1.1091722,1.1105986,-0.08258492,-0.21793073,-1.4477237,-0.29751295,-3.949056,-0.023242304,2.0754552,-1.1953886,-2.0363204,-0.060312837,2.47389,-1.7550681,0.67583,-2.6321206
Health coverage,1.0386559,-2.9902105,-5.5769515,4.104112,1.38745,-1.8130424,3.1871085,2.3733623,-1.8973408,3.4932761,-3.666781,4.0668573,-0.8078958,5.109213,-5.2853537,2.0961902,1.4811428,3.1092093,-0.026531935,-7.1156163,-2.5651274,-1.3110319,6.4256716,-2.0047705,0.687685,2.5503964,-0.13905606,0.8269887,-0.4344831,4.6823645,2.1435256,0.97253954,0.58445007,-1.3556386,-0.120254345,-1.1219803,1.2598354,-1.3710842,1.0284269,2.3544645,-0.4501235,-0.8745922,1.4063143,-1.6639246,2.8412178,4.5773335,-0.029269382,-1.4658008,-1.6510366,-0.9266779,-0.8349135,2.5438368
"Public Health, safety and enivironmental education for children",5.3864017,-2.8180146,2.373038,2.911134,10.62018,-0.0593853,3.5824764,-5.9426312,8.260795,2.4973242,1.3659999,6.5452905,-0.54195833,7.322127,0.17722315,1.0092776,1.8907772,-1.7976235,-1.1744174,0.6512589,3.1018114,1.769028,-1.7126226,4.835397,6.8004613,1.1803576,-2.1731489,0.17623645,-3.0311575,0.9262688,-0.81286407,-0.17890084,-0.8078749,0.17185563,1.2037483,1.6470406,-0.33121368,-0.101912856,-0.09948523,-1.2990917,-0.011403263,1.7174287,0.5575043,1.1864381,0.79907155,-1.7702461,0.58162814,1.1857681,-2.3312273,0.881013,-2.0431824,3.042888
"Public Health, safety and enivironmental education for adults",4.693419,0.26012057,2.4973276,5.8069215,8.266589,0.1871298,-0.42792267,-1.1449867,1.1695259,5.381553,4.0248666,1.8802555,-4.224826,7.390996,3.1557472,-2.9021676,-3.4528565,1.1179607,2.85763,2.1901095,-2.8578024,1.7142525,-2.1243825,-3.2191267,5.122658,3.0533936,-2.8541274,-3.6547518,-3.3055744,0.24319403,-0.26166084,0.8470112,0.5099956,-0.40096378,1.4421864,-1.4840667,2.562623,-1.4731467,2.0776937,-0.03795615,0.21768206,-1.5188284,-0.13440719,-0.78532314,0.77289355,-2.8384607,1.0983964,-1.2393252,-2.3547187,0.5692646,-1.796533,0.5592986
"Health, safety and enivironmental media programs",6.484348,2.2768395,1.618929,3.0796423,10.693638,5.3319216,2.8333685,-3.9846456,3.35595,2.5794928,3.1356275,0.89881915,-5.293355,2.418191,0.9675668,-2.4679987,-1.9138815,-0.749206,0.7481764,-4.965602,-1.7616011,3.3381128,-0.18892165,1.2266349,3.2356153,5.296588,-1.0465262,1.9698471,-2.3760295,3.7455773,1.4902139,0.3420478,1.3479385,1.8449721,0.5708693,-0.64105815,1.2939053,0.10112697,2.477333,-0.8660799,-0.11869335,1.0125108,1.0487874,-1.5263715,0.7018759,-0.5736402,0.42057487,-0.4127198,-0.49350286,1.7248521,0.7565669,1.1780987
"Public access to Health, safety and enivironmental information",4.4428663,-2.4041681,-2.7792234,1.3901788,10.373848,0.9450103,0.26834482,-3.238924,1.1328188,4.253441,-0.6262506,4.700461,-4.918755,1.6686196,-1.4807038,-3.6074846,-2.2152908,0.139388,1.7975178,-3.008297,-5.0538945,4.188898,1.8111603,0.66792303,3.0954795,3.7801433,-0.87830126,4.9969664,-2.183819,1.0701402,-0.9678714,0.29636177,1.4661433,4.188273,2.6361132,-1.3475858,-2.0220037,1.1810323,1.1152732,-1.3023642,-0.7906817,0.13438566,0.14295335,-0.9705029,-0.0904395,-0.1975266,0.67234486,-0.18355723,0.54742944,1.1744218,-0.28374535,2.5513153
"Educational qualification of Health, safety and enivironmental employees",9.60833,-5.2681484,-0.10066788,6.0370045,8.684522,-0.3635481,3.346911,-1.7078881,7.2256956,4.4177046,5.2228494,6.4108005,-0.9866233,7.1845617,4.651633,-1.9686114,-0.61762613,0.40558195,2.2219856,-1.2722427,-1.2921519,2.8217492,-2.3033206,1.101654,3.2284226,2.703309,-2.2564216,-2.5177157,-1.7061048,0.6087383,-0.65520865,1.028548,-0.22661911,-1.6035602,-0.43627143,0.039115936,0.8244644,0.3984139,-0.14304076,-1.2302903,-1.5138731,-1.0070475,-1.9241776,-0.9406161,-0.679419,-0.31045735,1.7475218,-0.5726894,-1.5031283,1.8339776,1.2998517,1.4004651
"Contractors Health, safety and enivironmental education",8.788791,-0.17320167,-0.23871255,6.3608885,7.4593277,4.5919423,3.6703193,-0.65808064,5.5027514,1.8138795,4.136388,6.1119633,-4.044515,5.2740245,3.8153477,-3.467553,-1.5143361,0.4782157,0.3554263,-4.6323752,-0.78544366,3.2252488,-0.97959006,0.85969055,1.7184658,5.1697264,-3.6466765,-2.0687497,-1.4456198,0.7794047,-0.21140473,0.3411728,0.9017683,0.28669038,1.6958486,0.17471221,0.7972217,-0.91097414,1.9952502,-2.4083548,-0.9400056,2.133122,-0.20992656,-0.81060326,-0.6731812,1.08004,0.7051337,-0.11998454,-2.0968416,0.1918945,0.98204523,2.7753167
"Citizens participation in Health, safety and enivironmental public programs and meetings",1.5291966,-6.892851,1.8653425,-0.030229252,9.135915,2.210886,-0.65640765,-7.018622,2.8003206,-1.749763,0.7397838,8.002615,-7.0046844,2.358533,-2.0330262,-3.8087552,-3.104911,0.84561634,0.59261775,0.94434863,-2.9571576,1.405614,-1.1644735,0.7620809,4.2035747,4.367366,0.14814831,-3.2211742,-1.2149603,4.1074295,-1.6120281,0.56400454,-0.75788194,4.3019705,0.2547567,-2.3723333,2.486624,0.20903409,0.40371847,-1.3097966,1.408779,0.57801604,2.2636023,-1.0176634,-0.9938739,-0.9961846,1.0929784,-0.8429663,0.25397545,-0.50311846,0.29314238,2.9775498
"Volunteers for Health, safety and enivironmental plans/projects",8.668758,-4.098445,-2.1857316,1.6446478,7.317339,1.9813032,5.148699,-4.793757,3.3762462,0.00064982474,1.0752263,11.224489,-2.6470132,-1.6900325,-2.1898437,0.17835343,0.103340305,1.2717867,2.8993044,-2.416442,-4.433159,3.0664492,0.11319721,1.2472785,2.7391353,3.1307669,0.71978325,-3.6533947,-3.2185054,-2.4931543,0.50707257,1.5502255,1.0865929,-0.7975265,2.0962596,-0.515519,-0.71351826,-1.9202019,-0.5679189,0.061610997,0.837667,4.327223,1.5082974,1.3466389,-1.575473,0.60467696,1.3331089,0.46004534,-0.13444941,1.1616795,3.7321496,1.8938367
"Supporting of Health, safety and enivironmental Non-Governmental Organizations s",8.117625,-2.3916805,-2.496072,0.9968381,7.2829456,3.4022598,4.4022517,-2.7258983,0.0051784813,4.5282936,-2.584785,8.155522,-5.4641604,1.0222888,-2.3304493,1.6394509,2.8006723,0.47194076,1.1773231,-3.3041596,-3.293782,2.8512216,0.53026116,-0.7557564,-0.82471305,6.4286294,-0.23101519,-1.1175249,-2.5502987,0.17492414,-0.56831676,0.8425336,1.1657097,-0.7127063,2.2995064,-0.0892266,-0.9358053,-1.4838427,1.3020259,1.1173404,1.2754762,2.0542932,0.29537618,1.7302675,-1.2753896,-1.4038033,-1.0198324,-0.946085,-1.1711861,0.9584682,2.8423257,0.57313097
"Participation in developing Health, safety and enivironmental schools",9.413891,-5.342739,0.27926672,3.1057253,7.7316923,0.95126,1.8975976,-3.242892,6.8551397,-0.32047185,2.3240957,6.0440173,-3.223625,6.300821,1.6879778,-1.4680585,2.004056,-2.2551298,-0.62190205,-1.3893385,-0.19214773,2.970915,-0.74755734,1.1607506,3.669082,5.769936,-2.4164689,-2.1795807,-1.9241581,0.20382619,0.95195246,0.19565257,-0.12598798,1.1213489,0.31528795,1.0356982,-0.3650985,0.026823327,1.0553739,-0.17200002,-0.3798193,1.0258443,1.5927864,-0.69949657,-1.3646125,-2.0395305,-0.16191623,-0.7202332,-1.0462177,1.3985186,1.0416217,1.3520191
"Health, safety and enivironmental sustainability plans and project in municipality",6.2493706,-1.2844024,-4.9422584,0.83135974,8.850298,6.2197437,-0.27070603,-0.18482041,1.608321,-5.7728333,2.3552816,1.4860574,-2.356564,1.3992836,-1.3787613,-5.1199813,2.1517792,1.8785448,1.6161367,0.88467216,-2.5496888,4.4038553,-0.99599713,-2.504186,2.5039532,7.2879004,-1.0022154,1.641156,-3.963975,-2.0533795,2.049904,1.7599568,0.9045733,-0.48254853,2.4968963,2.584313,1.0711209,0.5133765,0.6675914,0.44683555,0.27670938,0.540527,0.360274,0.4530089,-0.35353273,-0.14221898,0.16445851,-0.72708607,0.4508692,-1.2636985,0.5257484,1.1661034
"Municipality budget on Health, safety and enivironmental issues",1.2422228,2.785868,-2.6259532,-0.898996,8.549579,13.9130745,4.0099387,2.7565,1.990481,1.3041911,0.0595977,0.9623313,-4.298702,4.3934507,0.11812556,-1.5060111,4.090848,-0.58627295,2.2175264,-2.067484,-1.6144075,1.3426149,-0.8074796,-0.5595114,2.3597941,2.7943878,-1.2421582,0.40268648,-3.6264594,0.4587348,0.79287326,1.4644482,0.6080178,1.1399008,0.36749893,0.37788182,1.2528787,1.4754198,1.7357149,0.5237495,-0.5826,-0.18976042,-1.2113703,1.5562415,-0.102821365,-1.3856188,2.861683,-0.33069497,0.26870883,-0.53892267,1.423819,1.8463876
