,indicator,indicator,indicator,indicator,indicator,similarity,similarity,similarity,similarity,similarity,type
Sustainable site,Local concept of sustainable use,Ensure the quality of the traditional resource use activities,Sustainable use of heritage and local traditions in tourism,Well-preserved village,Cultural sites maintenance level,"0,56","0,47","0,47","0,42","0,37",general
Tax burden,Values,Size,Effect on Property Value,Pressure of parking,Protect hunting and trapping area,"0,51","0,46","0,42","0,34","0,3",general
Territory consumed in areas not yet urbanized,Distance from the centre of the old town zone,Loss of landscape elements and character (tangible - intangible),Places heterotopic,Spaces rural pedestrian,Diversity of landscape,"0,64","0,52","0,5","0,48","0,48",general
Tertiary industry value to GDP ratio,Revenues from tourism (% farm income),Effect on Property Value,Landscape value index,Regional products sales (% PDO label),Historic monument values,"0,49","0,48","0,47","0,44","0,38",general
The competitive position of the city,Attractive streetscape,Funds for the improvement of the physical urban environment,Effect on local business and jobs,State of the building,"Beautiful, attractive place","0,49","0,41","0,4","0,38","0,37",general
Thermal comfort strategies,Comfortable use,Number of healing plants,Therapeutic value,Hotel architecture harmonized with environment,Wellness acoustic,"0,47","0,46","0,44","0,39","0,37",general
Toll parking,Pressure of parking,Parking places in building surroundings,Protect hunting and trapping area,Values,Effect on Property Value,"0,77","0,5","0,38","0,38","0,38",general
Total GDP,Dike,Total hedgerow length,Trees Land Cover,Size,Permanent grassland indicator,"0,53","0,47","0,42","0,37","0,34",general
Total annual water consumption (cubic meter per capita; per GDP),Percent of population participating in first salmon ceremony in past year,Maintaining traditional irrigation system,Perceptions of marine associated spirituality,Dike,L/T ratio,"0,31","0,29","0,27","0,26","0,21",general
Total destinations within reach in a given timea,Viewpoints,Accessibility,"Number of view axes, panoramas",Number of expert guides in interpretation,View-leading elements,"0,47","0,44","0,43","0,42","0,38",general
Total population of the city,Number of citizens initiatives,No. of visitors and tourists,Proximity to residential areas,Community participation in process and type of participation,Urban green space,"0,49","0,41","0,41","0,36","0,32",general
Total public revenue,Effect on Property Value,Historic monument values,Revenues from tourism (% farm income),Community arts funding,Values,"0,54","0,49","0,47","0,44","0,4",general
Total use of water (m3 per capita per year),Percent of population participating in first salmon ceremony in past year,Frequency of sharing salmon legends annually,Opportunities for ocean viewing,L/T ratio,Remains of periods,"0,39","0,34","0,29","0,29","0,28",general
Touristic attractiveness,"Beautiful, attractive place",Attractive streetscape,Scenic beauty,Level of satisfaction with the visit to cultural sites of the destination,Aesthetic/scenic landscapes,"0,72","0,71","0,67","0,67","0,64",general
Traffic Noise Control,Pressure of parking,Number and visibility of disturbing elements and objects,Protect hunting and trapping area,Parking places in building surroundings,"Impairments through visual, acoustic or olfactory disturbances","0,58","0,33","0,33","0,32","0,28",general
Transparent governance/Efficient and transparent administration,Process transparency,Cleanliness and Improvements,View-leading elements,Degree of unobstructed view,Events successfully implemented and evaluated,"0,63","0,53","0,46","0,46","0,41",general
Transport Assessment and Master Plan,Clear strategy,Level of sensitivity of interpretive material and activities pursued,Effectiveness of planning in relation to the landscape,Funds for the improvement of the physical urban environment,Linear elements indicator,"0,4","0,38","0,34","0,34","0,32",general
Transporte,Dike,Viewsheds,Linear elements indicator,Degree of unobstructed view,Spaces rural pedestrian,"0,35","0,29","0,26","0,24","0,21",general
Travel Choice,Clear strategy,Study trails,No. of visitors and tourists,Viewpoints,Type of information given to visitors before and during site visits,"0,4","0,36","0,35","0,35","0,34",general
Travel Time,Linear elements indicator,Occupied spaces,Historical path,Spatial coherence,Remains of periods,"0,48","0,46","0,44","0,41","0,31",general
Travel tickets online,Compliance with tourist guidelines,No. of visitors and tourists,Type of information given to visitors before and during site visits,Type and amount of training given to tourism employees,Clear strategy,"0,47","0,46","0,42","0,41","0,34",general
Tree planting,Trees Land Cover,Composite tree risk index,Existence of fruit trees,Tree suitable for indigenous carving,Biorich trees indicator,"0,77","0,73","0,7","0,68","0,64",general
Trip length frequency,Linear elements indicator,Management type and frequency,Compliance with tourist guidelines,Clear strategy,Size,"0,52","0,39","0,39","0,37","0,36",general
Type of cooking fuel,Contiguity to Farmlands,Spiritual/religious landscapes,Existence of fruit trees,Perceptions of marine associated spirituality,Cultural events related to olive farming,"0,37","0,33","0,32","0,29","0,27",general
Type of occupancy,Proximity to residential areas,Percentage of renovated buildings,Places of personality,Castles,Listed built elements,"0,54","0,43","0,42","0,42","0,41",general
Type of residence and number of rooms used for sleeping,Proximity to residential areas,"Conditions of the culture; habits; traditions; cultural, artistic, architectonic, historical and archaeological patrimony",Castles,Hotel architecture harmonized with environment,"Vinehouse, cave","0,48","0,36","0,34","0,33","0,33",general
UPublic Transportake of SUMP,L/T ratio,Porosity,Viewsheds,Dike,Rareness (% of area in the study area),"0,38","0,34","0,34","0,28","0,26",general
Unemployment rate High/low income ratio,Effect on local business and jobs,Revenues from tourism (% farm income),Loss of authenticity and becoming impersonal,Loss of landscape elements and character (tangible - intangible),Community arts funding,"0,33","0,31","0,28","0,28","0,27",general
Urban Heat Reduction  & Outdoor Thermal Comfort Strategy Orientation,Hotel architecture harmonized with environment,Funds for the improvement of the physical urban environment,Attractive streetscape,Number of cultural sites affected by natural disasters and urban expansion,Opportunities for ocean viewing,"0,39","0,38","0,38","0,29","0,28",general
Urban population density (p.Km2),Urban green space,Number of cultural sites affected by natural disasters and urban expansion,Proximity to residential areas,Museums,No. of visitors and tourists,"0,45","0,34","0,25","0,25","0,22",general
Urban space hierarchy,State of the building,Acres of open space,High architectural values,Urban green space,Occupied spaces,"0,53","0,44","0,42","0,4","0,4",general
Urban sprawl,Number of cultural sites affected by natural disasters and urban expansion,Urban green space,Porosity,Attractive streetscape,Enhancement urban green,"0,48","0,45","0,43","0,37","0,35",general
Urbanization Rate,Number of citizens initiatives,Urban green space,Number of cultural sites affected by natural disasters and urban expansion,Enhancement urban green,No. of visitors and tourists,"0,44","0,41","0,41","0,38","0,35",general
Use of ICT and smart technologies (e.g. RFID) for promoting well-being,Enhancement urban green,Cleanliness and Improvements,Enhancement of industrial,"Beautiful, attractive place",Areas and objects of spiritual value,"0,51","0,4","0,38","0,38","0,37",general
